Gender,Age,Height,Weight,BMI,Weight Category,Recommended Supplements,Recommended Exercises,Exercise Instructions,Activity Level
Male,40,180,116,35.8,Obesity,Multivitamin,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Female,62,153,100,42.7,Obesity,Protein,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Other,19,193,94,25.2,Overweight,Omega-3,HIIT,Do HIIT workouts 2-3 times a week.,Lightly active
Female,58,172,56,18.9,Normal weight,Omega-3,Yoga,Do 30 minutes of cardio daily.,Lightly active
Female,38,151,104,45.6,Obesity,Omega-3,Cardio,Practice yoga 3 times a week for flexibility.,Moderately active
Other,19,171,70,23.9,Normal weight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Very active
Female,44,186,85,24.6,Normal weight,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Lightly active
Male,26,157,80,32.5,Obesity,Creatine,Pilates,Incorporate Pilates exercises into your routine.,Sedentary
Male,18,156,67,27.5,Overweight,Protein,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Male,28,163,87,32.7,Obesity,Creatine,HIIT,Practice yoga 3 times a week for flexibility.,Moderately active
Other,20,152,50,21.6,Normal weight,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Very active
Female,40,199,113,28.5,Overweight,Vitamin D,Cardio,Incorporate Pilates exercises into your routine.,Sedentary
Male,43,165,87,32,Obesity,Multivitamin,Yoga,Practice yoga 3 times a week for flexibility.,Moderately active
Other,21,168,69,24.4,Normal weight,Omega-3,HIIT,Practice yoga 3 times a week for flexibility.,Sedentary
Female,35,167,62,22.2,Normal weight,Omega-3,HIIT,Do 30 minutes of cardio daily.,Very active
Other,23,165,106,38.9,Obesity,Vitamin D,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Male,52,157,57,23.1,Normal weight,Multivitamin,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Male,39,182,87,26.3,Overweight,Multivitamin,Cardio,Practice yoga 3 times a week for flexibility.,Very active
Male,60,198,72,18.4,Underweight,Protein,Yoga,Practice yoga 3 times a week for flexibility.,Sedentary
Other,32,161,62,23.9,Normal weight,Omega-3,HIIT,Follow a strength training regimen 3 times a week.,Lightly active
Other,39,160,103,40.2,Obesity,Vitamin D,Strength training,Do 30 minutes of cardio daily.,Very active
Male,54,154,104,43.9,Obesity,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Moderately active
Other,59,176,107,34.5,Obesity,Omega-3,HIIT,Practice yoga 3 times a week for flexibility.,Moderately active
Male,29,161,101,39,Obesity,Protein,HIIT,Do HIIT workouts 2-3 times a week.,Lightly active
Male,64,166,95,34.5,Obesity,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Sedentary
Female,59,155,100,41.6,Obesity,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Sedentary
Other,55,182,71,21.4,Normal weight,Omega-3,Yoga,Follow a strength training regimen 3 times a week.,Moderately active
Male,35,154,76,32,Obesity,Creatine,Strength training,Follow a strength training regimen 3 times a week.,Sedentary
Male,62,177,53,16.9,Underweight,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Very active
Other,52,163,112,42.2,Obesity,Protein,Strength training,Do HIIT workouts 2-3 times a week.,Very active
Female,47,154,90,37.9,Obesity,Omega-3,Strength training,Do 30 minutes of cardio daily.,Moderately active
Female,41,182,111,33.5,Obesity,Creatine,Cardio,Incorporate Pilates exercises into your routine.,Very active
Male,59,199,70,17.7,Underweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Moderately active
Other,47,197,52,13.4,Underweight,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Sedentary
Female,31,190,50,13.9,Underweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Other,23,168,68,24.1,Normal weight,Creatine,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Other,20,171,92,31.5,Obesity,Multivitamin,Yoga,Incorporate Pilates exercises into your routine.,Lightly active
Male,33,154,89,37.5,Obesity,Multivitamin,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Female,24,151,57,25,Overweight,Omega-3,Pilates,Do 30 minutes of cardio daily.,Very active
Male,31,179,113,35.3,Obesity,Creatine,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Female,26,196,69,18,Underweight,Protein,Yoga,Do 30 minutes of cardio daily.,Lightly active
Female,32,188,64,18.1,Underweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Very active
Female,38,153,110,47,Obesity,Multivitamin,Strength training,Do HIIT workouts 2-3 times a week.,Very active
Female,52,182,118,35.6,Obesity,Multivitamin,Yoga,Incorporate Pilates exercises into your routine.,Very active
Female,19,162,89,33.9,Obesity,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Other,44,169,91,31.9,Obesity,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Very active
Male,19,156,107,44,Obesity,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Moderately active
Other,52,164,99,36.8,Obesity,Protein,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Female,35,172,119,40.2,Obesity,Vitamin D,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Male,31,163,63,23.7,Normal weight,Vitamin D,Strength training,Do HIIT workouts 2-3 times a week.,Very active
Female,37,172,79,26.7,Overweight,Omega-3,Pilates,Follow a strength training regimen 3 times a week.,Moderately active
Male,35,168,97,34.4,Obesity,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Very active
Other,27,178,70,22.1,Normal weight,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Male,42,169,58,20.3,Normal weight,Protein,Yoga,Do 30 minutes of cardio daily.,Sedentary
Male,19,178,89,28.1,Overweight,Creatine,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Male,42,173,88,29.4,Overweight,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Male,50,167,109,39.1,Obesity,Multivitamin,Cardio,Practice yoga 3 times a week for flexibility.,Lightly active
Male,53,159,95,37.6,Obesity,Omega-3,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Female,48,190,87,24.1,Normal weight,Protein,Yoga,Incorporate Pilates exercises into your routine.,Very active
Male,31,157,67,27.2,Overweight,Omega-3,Yoga,Do 30 minutes of cardio daily.,Lightly active
Male,18,175,100,32.7,Obesity,Creatine,HIIT,Incorporate Pilates exercises into your routine.,Lightly active
Other,63,178,63,19.9,Normal weight,Vitamin D,Strength training,Do 30 minutes of cardio daily.,Very active
Male,33,159,99,39.2,Obesity,Vitamin D,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Other,63,166,104,37.7,Obesity,Multivitamin,Cardio,Practice yoga 3 times a week for flexibility.,Very active
Female,20,151,103,45.2,Obesity,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Male,52,155,77,32,Obesity,Protein,HIIT,Do HIIT workouts 2-3 times a week.,Sedentary
Other,58,154,63,26.6,Overweight,Creatine,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Other,23,177,72,23,Normal weight,Omega-3,HIIT,Follow a strength training regimen 3 times a week.,Lightly active
Female,42,190,96,26.6,Overweight,Creatine,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Male,30,154,93,39.2,Obesity,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Sedentary
Male,51,167,81,29,Overweight,Omega-3,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Other,25,175,70,22.9,Normal weight,Multivitamin,Pilates,Incorporate Pilates exercises into your routine.,Moderately active
Male,38,169,84,29.4,Overweight,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Other,51,190,82,22.7,Normal weight,Omega-3,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Male,21,198,98,25,Overweight,Omega-3,Yoga,Do 30 minutes of cardio daily.,Sedentary
Other,42,176,66,21.3,Normal weight,Omega-3,Cardio,Do 30 minutes of cardio daily.,Lightly active
Male,32,198,60,15.3,Underweight,Protein,HIIT,Follow a strength training regimen 3 times a week.,Very active
Female,21,161,72,27.8,Overweight,Creatine,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Male,62,156,79,32.5,Obesity,Omega-3,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Male,29,152,104,45,Obesity,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Sedentary
Female,49,159,89,35.2,Obesity,Omega-3,HIIT,Do 30 minutes of cardio daily.,Very active
Male,49,183,90,26.9,Overweight,Multivitamin,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Female,45,174,116,38.3,Obesity,Multivitamin,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Male,30,184,99,29.2,Overweight,Multivitamin,Strength training,Practice yoga 3 times a week for flexibility.,Sedentary
Other,48,165,70,25.7,Overweight,Vitamin D,HIIT,Incorporate Pilates exercises into your routine.,Moderately active
Other,31,151,69,30.3,Obesity,Omega-3,HIIT,Follow a strength training regimen 3 times a week.,Very active
Male,37,173,109,36.4,Obesity,Vitamin D,HIIT,Practice yoga 3 times a week for flexibility.,Moderately active
Male,35,159,50,19.8,Normal weight,Creatine,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Male,46,187,67,19.2,Normal weight,Vitamin D,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Other,23,171,108,36.9,Obesity,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Sedentary
Male,49,175,87,28.4,Overweight,Creatine,Yoga,Practice yoga 3 times a week for flexibility.,Sedentary
Other,46,192,67,18.2,Underweight,Creatine,Cardio,Practice yoga 3 times a week for flexibility.,Lightly active
Female,60,188,74,20.9,Normal weight,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Lightly active
Other,19,176,62,20,Normal weight,Omega-3,Strength training,Practice yoga 3 times a week for flexibility.,Lightly active
Other,40,178,65,20.5,Normal weight,Vitamin D,Yoga,Follow a strength training regimen 3 times a week.,Moderately active
Female,36,196,101,26.3,Overweight,Omega-3,Cardio,Do 30 minutes of cardio daily.,Very active
Other,48,187,67,19.2,Normal weight,Omega-3,Yoga,Practice yoga 3 times a week for flexibility.,Sedentary
Male,22,169,89,31.2,Obesity,Creatine,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Male,36,176,88,28.4,Overweight,Vitamin D,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Other,51,190,91,25.2,Overweight,Omega-3,Pilates,Do 30 minutes of cardio daily.,Sedentary
Male,27,169,84,29.4,Overweight,Multivitamin,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Other,42,193,95,25.5,Overweight,Omega-3,Cardio,Do HIIT workouts 2-3 times a week.,Moderately active
Male,19,168,86,30.5,Obesity,Multivitamin,Strength training,Do HIIT workouts 2-3 times a week.,Very active
Male,28,169,51,17.9,Underweight,Vitamin D,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Other,48,184,94,27.8,Overweight,Vitamin D,HIIT,Do HIIT workouts 2-3 times a week.,Lightly active
Male,32,196,92,23.9,Normal weight,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Very active
Other,26,151,50,21.9,Normal weight,Omega-3,Strength training,Practice yoga 3 times a week for flexibility.,Lightly active
Male,40,179,53,16.5,Underweight,Protein,Yoga,Incorporate Pilates exercises into your routine.,Moderately active
Male,36,183,101,30.2,Obesity,Omega-3,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Female,26,171,75,25.6,Overweight,Omega-3,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Female,52,152,65,28.1,Overweight,Creatine,Pilates,Do 30 minutes of cardio daily.,Very active
Other,38,155,84,35,Obesity,Creatine,HIIT,Do 30 minutes of cardio daily.,Very active
Female,26,164,89,33.1,Obesity,Omega-3,Strength training,Practice yoga 3 times a week for flexibility.,Sedentary
Other,45,176,93,30,Obesity,Multivitamin,Yoga,Follow a strength training regimen 3 times a week.,Very active
Female,63,159,64,25.3,Overweight,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Lightly active
Male,24,158,61,24.4,Normal weight,Omega-3,Cardio,Practice yoga 3 times a week for flexibility.,Lightly active
Other,33,182,72,21.7,Normal weight,Protein,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Other,33,181,85,25.9,Overweight,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Lightly active
Male,50,197,110,28.3,Overweight,Vitamin D,Pilates,Do 30 minutes of cardio daily.,Very active
Other,21,155,69,28.7,Overweight,Omega-3,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Other,21,190,102,28.3,Overweight,Omega-3,HIIT,Practice yoga 3 times a week for flexibility.,Moderately active
Female,56,185,85,24.8,Normal weight,Multivitamin,Strength training,Practice yoga 3 times a week for flexibility.,Sedentary
Other,57,151,50,21.9,Normal weight,Creatine,Strength training,Follow a strength training regimen 3 times a week.,Moderately active
Male,34,178,119,37.6,Obesity,Creatine,Cardio,Do 30 minutes of cardio daily.,Moderately active
Female,54,153,82,35,Obesity,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Sedentary
Female,56,150,50,22.2,Normal weight,Vitamin D,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Male,46,168,89,31.5,Obesity,Multivitamin,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Male,53,175,119,38.9,Obesity,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Female,55,174,58,19.2,Normal weight,Creatine,Pilates,Do 30 minutes of cardio daily.,Lightly active
Other,56,159,110,43.5,Obesity,Creatine,Cardio,Incorporate Pilates exercises into your routine.,Sedentary
Female,54,164,84,31.2,Obesity,Protein,Pilates,Practice yoga 3 times a week for flexibility.,Very active
Male,52,171,47,16.1,Underweight,Protein,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Female,24,197,68,17.5,Underweight,Omega-3,Strength training,Follow a strength training regimen 3 times a week.,Sedentary
Male,44,170,63,21.8,Normal weight,Omega-3,HIIT,Do 30 minutes of cardio daily.,Lightly active
Female,45,171,62,21.2,Normal weight,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Other,39,185,108,31.6,Obesity,Multivitamin,HIIT,Practice yoga 3 times a week for flexibility.,Sedentary
Female,31,183,79,23.6,Normal weight,Vitamin D,Strength training,Practice yoga 3 times a week for flexibility.,Moderately active
Female,24,179,106,33.1,Obesity,Vitamin D,Strength training,Do 30 minutes of cardio daily.,Sedentary
Male,54,174,45,14.9,Underweight,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Sedentary
Male,39,194,69,18.3,Underweight,Omega-3,HIIT,Incorporate Pilates exercises into your routine.,Very active
Male,22,177,89,28.4,Overweight,Protein,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Female,19,150,93,41.3,Obesity,Protein,Pilates,Practice yoga 3 times a week for flexibility.,Very active
Other,44,198,60,15.3,Underweight,Omega-3,HIIT,Follow a strength training regimen 3 times a week.,Moderately active
Male,38,194,63,16.7,Underweight,Vitamin D,Cardio,Follow a strength training regimen 3 times a week.,Sedentary
Male,55,153,67,28.6,Overweight,Omega-3,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Female,32,156,69,28.4,Overweight,Creatine,Strength training,Follow a strength training regimen 3 times a week.,Lightly active
Male,38,198,60,15.3,Underweight,Creatine,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Other,27,158,98,39.3,Obesity,Creatine,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Other,40,185,117,34.2,Obesity,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Lightly active
Male,56,168,45,15.9,Underweight,Vitamin D,HIIT,Incorporate Pilates exercises into your routine.,Lightly active
Male,22,150,86,38.2,Obesity,Vitamin D,Cardio,Follow a strength training regimen 3 times a week.,Moderately active
Female,18,159,63,24.9,Obesity,Multivitamin,HIIT,Incorporate Pilates exercises into your routine.,Very active
Other,30,185,78,22.8,Normal weight,Protein,HIIT,Practice yoga 3 times a week for flexibility.,Lightly active
Other,38,158,99,39.7,Obesity,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Sedentary
Male,43,194,62,16.5,Underweight,Creatine,Yoga,Practice yoga 3 times a week for flexibility.,Sedentary
Female,62,195,78,20.5,Normal weight,Protein,Strength training,Follow a strength training regimen 3 times a week.,Lightly active
Other,38,191,89,24.4,Normal weight,Omega-3,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Other,35,181,50,15.3,Underweight,Omega-3,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Female,54,181,65,19.8,Normal weight,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Lightly active
Female,62,155,114,47.5,Obesity,Multivitamin,HIIT,Practice yoga 3 times a week for flexibility.,Very active
Other,49,197,92,23.7,Normal weight,Vitamin D,HIIT,Practice yoga 3 times a week for flexibility.,Very active
Other,53,187,83,23.7,Normal weight,Omega-3,Strength training,Do 30 minutes of cardio daily.,Moderately active
Female,34,166,75,27.2,Overweight,Protein,Strength training,Do 30 minutes of cardio daily.,Lightly active
Other,52,159,54,21.4,Normal weight,Vitamin D,Pilates,Follow a strength training regimen 3 times a week.,Moderately active
Male,28,199,74,18.7,Normal weight,Creatine,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Male,38,176,62,20,Normal weight,Creatine,Pilates,Practice yoga 3 times a week for flexibility.,Moderately active
Female,43,199,104,26.3,Overweight,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Female,21,184,117,34.6,Obesity,Omega-3,Yoga,Follow a strength training regimen 3 times a week.,Moderately active
Female,51,170,59,20.4,Normal weight,Creatine,HIIT,Follow a strength training regimen 3 times a week.,Very active
Male,35,174,48,15.9,Underweight,Creatine,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Other,57,177,107,34.2,Obesity,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Male,52,196,84,21.9,Normal weight,Vitamin D,Cardio,Do HIIT workouts 2-3 times a week.,Very active
Other,58,164,53,19.7,Normal weight,Omega-3,Yoga,Do 30 minutes of cardio daily.,Lightly active
Male,46,153,53,22.6,Normal weight,Vitamin D,Yoga,Practice yoga 3 times a week for flexibility.,Moderately active
Other,46,178,70,22.1,Normal weight,Omega-3,HIIT,Do 30 minutes of cardio daily.,Lightly active
Male,55,158,48,19.2,Normal weight,Creatine,Pilates,Practice yoga 3 times a week for flexibility.,Very active
Female,59,176,60,19.4,Normal weight,Multivitamin,Cardio,Do 30 minutes of cardio daily.,Sedentary
Male,38,175,59,19.3,Normal weight,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Moderately active
Other,59,168,96,34,Obesity,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Lightly active
Male,30,177,113,36.1,Obesity,Omega-3,Yoga,Follow a strength training regimen 3 times a week.,Sedentary
Male,58,166,49,17.8,Underweight,Vitamin D,Yoga,Practice yoga 3 times a week for flexibility.,Moderately active
Male,34,192,64,17.4,Underweight,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Moderately active
Female,26,190,62,17.2,Underweight,Creatine,Cardio,Practice yoga 3 times a week for flexibility.,Lightly active
Male,58,191,46,12.6,Underweight,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Female,18,199,57,14.4,Underweight,Multivitamin,Pilates,Do 30 minutes of cardio daily.,Lightly active
Female,19,169,48,16.8,Underweight,Multivitamin,Cardio,Follow a strength training regimen 3 times a week.,Moderately active
Male,46,194,86,22.9,Normal weight,Creatine,Pilates,Do 30 minutes of cardio daily.,Moderately active
Male,50,189,118,33,Obesity,Omega-3,Cardio,Do 30 minutes of cardio daily.,Very active
Male,27,188,105,29.7,Overweight,Creatine,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Other,57,198,52,13.3,Underweight,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Male,38,172,111,37.5,Obesity,Protein,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Female,45,196,107,27.9,Overweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Male,28,181,53,16.2,Underweight,Vitamin D,Pilates,Do 30 minutes of cardio daily.,Very active
Other,51,196,55,14.3,Underweight,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Very active
Male,25,182,86,26,Overweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Very active
Other,39,195,57,15,Underweight,Multivitamin,Pilates,Do 30 minutes of cardio daily.,Lightly active
Other,25,154,80,33.7,Obesity,Vitamin D,Pilates,Do 30 minutes of cardio daily.,Lightly active
Male,32,192,57,15.5,Underweight,Creatine,Strength training,Follow a strength training regimen 3 times a week.,Very active
Female,34,197,56,14.4,Underweight,Creatine,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Other,40,183,81,24.2,Normal weight,Multivitamin,Yoga,Do HIIT workouts 2-3 times a week.,Moderately active
Male,41,189,118,33,Obesity,Vitamin D,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Male,62,160,117,45.7,Obesity,Creatine,Strength training,Practice yoga 3 times a week for flexibility.,Very active
Female,36,199,96,24.2,Normal weight,Vitamin D,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Other,22,152,115,49.8,Obesity,Vitamin D,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Other,49,182,46,13.9,Underweight,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Male,61,160,100,39.1,Obesity,Protein,Pilates,Follow a strength training regimen 3 times a week.,Lightly active
Male,18,165,104,38.2,Obesity,Creatine,Strength training,Do 30 minutes of cardio daily.,Lightly active
Female,40,167,67,24,Normal weight,Multivitamin,Cardio,Do HIIT workouts 2-3 times a week.,Sedentary
Female,54,179,84,26.2,Overweight,Omega-3,Cardio,Do 30 minutes of cardio daily.,Very active
Other,25,197,108,27.8,Overweight,Creatine,HIIT,Do HIIT workouts 2-3 times a week.,Sedentary
Other,30,159,67,26.5,Overweight,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Moderately active
Male,25,167,73,26.2,Overweight,Vitamin D,Pilates,Practice yoga 3 times a week for flexibility.,Sedentary
Other,40,187,95,27.2,Overweight,Creatine,Strength training,Do HIIT workouts 2-3 times a week.,Sedentary
Female,60,168,113,40,Obesity,Omega-3,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Female,18,185,75,21.9,Normal weight,Creatine,HIIT,Follow a strength training regimen 3 times a week.,Sedentary
Male,62,162,94,35.8,Obesity,Omega-3,Yoga,Incorporate Pilates exercises into your routine.,Moderately active
Female,41,195,64,16.8,Underweight,Omega-3,Yoga,Follow a strength training regimen 3 times a week.,Lightly active
Female,52,152,99,42.8,Obesity,Multivitamin,Strength training,Do HIIT workouts 2-3 times a week.,Moderately active
Female,41,159,46,18.2,Underweight,Vitamin D,Cardio,Follow a strength training regimen 3 times a week.,Sedentary
Female,34,187,69,19.7,Normal weight,Vitamin D,Strength training,Incorporate Pilates exercises into your routine.,Moderately active
Male,22,150,57,25.3,Overweight,Omega-3,Strength training,Practice yoga 3 times a week for flexibility.,Moderately active
Male,37,176,114,36.8,Obesity,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Sedentary
Other,38,195,111,29.2,Overweight,Protein,Yoga,Do 30 minutes of cardio daily.,Sedentary
Female,57,157,102,41.4,Obesity,Omega-3,Pilates,Practice yoga 3 times a week for flexibility.,Lightly active
Other,48,195,119,31.3,Obesity,Vitamin D,Yoga,Do 30 minutes of cardio daily.,Lightly active
Male,63,191,108,29.6,Overweight,Protein,Yoga,Do HIIT workouts 2-3 times a week.,Very active
Male,53,166,113,41,Obesity,Multivitamin,HIIT,Do HIIT workouts 2-3 times a week.,Lightly active
Male,28,158,103,41.3,Obesity,Vitamin D,Pilates,Incorporate Pilates exercises into your routine.,Sedentary
Male,32,155,104,43.3,Obesity,Protein,Cardio,Incorporate Pilates exercises into your routine.,Moderately active
Male,36,192,106,28.8,Overweight,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Moderately active
Male,24,174,60,19.8,Normal weight,Creatine,Cardio,Incorporate Pilates exercises into your routine.,Lightly active
Male,45,188,112,31.7,Obesity,Protein,Pilates,Do HIIT workouts 2-3 times a week.,Lightly active
Female,60,198,59,15,Underweight,Omega-3,Strength training,Incorporate Pilates exercises into your routine.,Sedentary
Other,22,177,99,31.6,Obesity,Omega-3,Pilates,Do 30 minutes of cardio daily.,Moderately active
Male,22,182,79,23.8,Normal weight,Vitamin D,HIIT,Follow a strength training regimen 3 times a week.,Very active
Female,47,186,99,28.6,Overweight,Creatine,Cardio,Follow a strength training regimen 3 times a week.,Very active
Female,49,158,58,23.2,Normal weight,Omega-3,Yoga,Do HIIT workouts 2-3 times a week.,Lightly active
Other,25,167,93,33.3,Obesity,Omega-3,HIIT,Incorporate Pilates exercises into your routine.,Very active
Male,27,170,51,17.6,Underweight,Creatine,Cardio,Do 30 minutes of cardio daily.,Sedentary
Other,55,151,74,32.5,Obesity,Multivitamin,Cardio,Incorporate Pilates exercises into your routine.,Very active
Male,64,192,93,25.2,Overweight,Omega-3,Yoga,Practice yoga 3 times a week for flexibility.,Lightly active
Female,49,187,60,17.2,Underweight,Protein,Strength training,Incorporate Pilates exercises into your routine.,Sedentary
Female,45,189,95,26.6,Overweight,Vitamin D,HIIT,Do HIIT workouts 2-3 times a week.,Moderately active
Female,34,185,116,33.9,Obesity,Omega-3,Yoga,Incorporate Pilates exercises into your routine.,Sedentary
Female,48,199,86,21.7,Normal weight,Omega-3,Yoga,Follow a strength training regimen 3 times a week.,Lightly active
Other,25,192,61,16.5,Underweight,Multivitamin,Strength training,Do 30 minutes of cardio daily.,Lightly active
Male,57,186,107,30.9,Obesity,Protein,HIIT,Do HIIT workouts 2-3 times a week.,Very active
Male,42,164,89,33.1,Obesity,Vitamin D,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Other,26,177,51,16.3,Underweight,Omega-3,Strength training,Do 30 minutes of cardio daily.,Moderately active
Male,19,167,71,25.5,Overweight,Vitamin D,HIIT,Do 30 minutes of cardio daily.,Moderately active
Female,32,183,54,16.1,Underweight,Creatine,Pilates,Follow a strength training regimen 3 times a week.,Lightly active
Male,20,171,78,26.7,Overweight,Omega-3,Cardio,Follow a strength training regimen 3 times a week.,Lightly active
Female,53,160,80,31.2,Obesity,Omega-3,Strength training,Follow a strength training regimen 3 times a week.,Lightly active
Other,21,162,69,26.3,Overweight,Creatine,Cardio,Do HIIT workouts 2-3 times a week.,Moderately active
Male,31,153,50,21.4,Normal weight,Multivitamin,Pilates,Incorporate Pilates exercises into your routine.,Lightly active
Other,58,171,68,23.3,Normal weight,Omega-3,Yoga,Do 30 minutes of cardio daily.,Moderately active
Male,58,156,62,25.5,Overweight,Vitamin D,Yoga,Incorporate Pilates exercises into your routine.,Lightly active
Female,42,192,50,13.6,Underweight,Protein,HIIT,Incorporate Pilates exercises into your routine.,Sedentary
Other,27,173,73,24.4,Normal weight,Vitamin D,Strength training,Follow a strength training regimen 3 times a week.,Sedentary
Male,38,153,69,29.5,Overweight,Multivitamin,Strength training,Incorporate Pilates exercises into your routine.,Lightly active
Female,53,177,99,31.6,Obesity,Protein,HIIT,Do 30 minutes of cardio daily.,Sedentary
Other,29,164,90,33.5,Obesity,Vitamin D,Cardio,Do 30 minutes of cardio daily.,Moderately active
Other,44,150,68,30.2,Obesity,Vitamin D,Yoga,Practice yoga 3 times a week for flexibility.,Very active
Male,57,152,119,51.5,Obesity,Creatine,Yoga,Do HIIT workouts 2-3 times a week.,Sedentary
Male,19,163,70,26.3,Overweight,Multivitamin,Strength training,Incorporate Pilates exercises into your routine.,Very active
